"sep=;"
Kunder
Forsikringsnummer;Etternavn;Fornavn;Kunde siden;Fakturaadresse;Ubetalte erstatninger
19172;9893.0;2019-07-11;7893.0;asdf;219173;Helland,Amina;asdfasdf;agareg;asdf;35;1983;dasdfasdf;91
19763;2165.0;2006-07-23;2302.0;asdf;219764;Gunnestad,Andreas;asdfasdf;agareg;asdf;31;1965;dasdfasdf;40
17261;9984.0;2016-11-11;7763.0;asdf;217262;Wilhelmsen,Christoffer;asdfasdf;agareg;asdf;17;2008;dasdfasdf;77
16996;7441.0;2000-12-09;8893.0;asdf;216997;Bruvoll,Maciej;asdfasdf;agareg;asdf;17;1967;dasdfasdf;48
18834;6691.0;2001-03-04;4365.0;asdf;218835;Gilje,Maja;asdfasdf;agareg;asdf;5;2018;dasdfasdf;5
15361;7990.0;2017-01-12;8015.0;asdf;215362;Daleng,Tobias;asdfasdf;agareg;asdf;6;1964;dasdfasdf;97
15828;9707.0;2000-02-08;6030.0;asdf;215829;Berntsen,Kim;asdfasdf;agareg;asdf;11;2011;dasdfasdf;50
18675;618.0;2009-05-12;3845.0;asdf;218676;Sønderland,Olav;asdfasdf;agareg;asdf;8;1978;dasdfasdf;105
17271;2354.0;2017-11-20;3836.0;asdf;217272;Røisland,Caroline;asdfasdf;agareg;asdf;12;2008;dasdfasdf;69
10527;9179.0;1997-05-01;9628.0;asdf;210528;Brekke,Ole;asdfasdf;agareg;asdf;26;1962;dasdfasdf;198
18689;3053.0;2000-05-12;1273.0;asdf;218690;Myhre,Live;asdfasdf;agareg;asdf;24;2001;dasdfasdf;57
13997;1631.0;2009-08-06;4519.0;asdf;213998;Herdlevær,Lucas;asdfasdf;agareg;asdf;25;1981;dasdfasdf;11
12145;4581.0;2004-09-26;8821.0;asdf;212146;Jama,Emilie;asdfasdf;agareg;asdf;34;2009;dasdfasdf;167
17588;4822.0;2003-05-03;6686.0;asdf;217589;Enoksen,Odin;asdfasdf;agareg;asdf;6;1975;dasdfasdf;147
13657;913.0;2015-04-11;8637.0;asdf;213658;Wergeland,Nina;asdfasdf;agareg;asdf;5;1960;dasdfasdf;77
13044;2619.0;2007-09-15;7297.0;asdf;213045;Sannes,Eirik;asdfasdf;agareg;asdf;6;1963;dasdfasdf;179
10184;7247.0;2004-05-03;5007.0;asdf;210185;Torgersen,Mia;asdfasdf;agareg;asdf;10;1975;dasdfasdf;176
16636;5480.0;2009-10-16;3184.0;asdf;216637;Johnsen,Agnes;asdfasdf;agareg;asdf;6;1998;dasdfasdf;30
12529;4983.0;2000-10-06;1348.0;asdf;212530;Pettersen,Leo;asdfasdf;agareg;asdf;18;1968;dasdfasdf;11
15686;5105.0;2001-01-14;8636.0;asdf;215687;Ellingsen,Kajus;asdfasdf;agareg;asdf;14;1965;dasdfasdf;6
11207;5019.0;2013-04-14;1228.0;asdf;211208;Mork,Johannes;asdfasdf;agareg;asdf;12;2014;dasdfasdf;93
11035;8663.0;2003-07-21;5527.0;asdf;211036;Olsen,Elsa;asdfasdf;agareg;asdf;18;1965;dasdfasdf;35
17227;1206.0;2002-12-02;9987.0;asdf;217228;Skare,Bella;asdfasdf;agareg;asdf;27;2004;dasdfasdf;106
16094;4120.0;2001-12-09;7227.0;asdf;216095;Indrebø,Josef;asdfasdf;agareg;asdf;19;2012;dasdfasdf;120
13622;9892.0;2005-06-03;3837.0;asdf;213623;Pedersen,Anders;asdfasdf;agareg;asdf;6;1968;dasdfasdf;193
17634;839.0;2001-04-06;3842.0;asdf;217635;Kristensen,Ella;asdfasdf;agareg;asdf;30;1978;dasdfasdf;44
18148;5166.0;2015-01-04;2262.0;asdf;218149;Lund,Tobias;asdfasdf;agareg;asdf;14;2008;dasdfasdf;66
19798;1272.0;2015-01-24;8149.0;asdf;219799;Sagen,Guro;asdfasdf;agareg;asdf;15;1991;dasdfasdf;139
17446;4232.0;2014-06-26;302.0;asdf;217447;Sørensen,Hanna;asdfasdf;agareg;asdf;25;1987;dasdfasdf;80
16080;5135.0;2010-01-12;2415.0;asdf;216081;Mo,Dominik;asdfasdf;agareg;asdf;35;2015;dasdfasdf;187
14036;5518.0;2016-01-23;2877.0;asdf;214037;Eriksen,Ida;asdfasdf;agareg;asdf;32;2018;dasdfasdf;163
18918;1409.0;2018-10-17;1952.0;asdf;218919;Fiskum,Viktor;asdfasdf;agareg;asdf;8;2014;dasdfasdf;128
12768;8251.0;1999-08-04;2080.0;asdf;212769;Aarsland,Lukas;asdfasdf;agareg;asdf;8;1983;dasdfasdf;29
14854;1434.0;2002-10-22;8647.0;asdf;214855;Johansen,Julia;asdfasdf;agareg;asdf;17;2017;dasdfasdf;116
15405;9289.0;2008-07-17;6388.0;asdf;215406;Skråmestø,Melissa;asdfasdf;agareg;asdf;21;1985;dasdfasdf;147
19657;5815.0;2011-12-10;4547.0;asdf;219658;Haugstad,Natalie;asdfasdf;agareg;asdf;23;1984;dasdfasdf;132
18111;8224.0;2018-01-26;6619.0;asdf;218112;Iqbal,Mikael;asdfasdf;agareg;asdf;16;2001;dasdfasdf;158
10120;9033.0;2010-04-05;9389.0;asdf;210121;Sørensen,Marielle;asdfasdf;agareg;asdf;7;1984;dasdfasdf;85
15214;3316.0;2016-12-27;264.0;asdf;215215;Hernes,Sunniva;asdfasdf;agareg;asdf;34;1969;dasdfasdf;140
17404;1656.0;2001-06-27;9256.0;asdf;217405;Toresen,Ella;asdfasdf;agareg;asdf;18;1973;dasdfasdf;95
19158;8662.0;2008-08-17;2967.0;asdf;219159;Hasle,Eliah;asdfasdf;agareg;asdf;34;2017;dasdfasdf;140
19019;9110.0;2009-12-16;6729.0;asdf;219020;Østby,Samira;asdfasdf;agareg;asdf;25;2013;dasdfasdf;88
18567;7660.0;1999-10-25;9381.0;asdf;218568;Standal,Sarah;asdfasdf;agareg;asdf;29;1978;dasdfasdf;49
16730;7817.0;2002-01-07;5769.0;asdf;216731;Arnøy,Astrid;asdfasdf;agareg;asdf;16;2017;dasdfasdf;117
11768;3724.0;1998-04-24;305.0;asdf;211769;Hjelseth,Adam;asdfasdf;agareg;asdf;19;2005;dasdfasdf;55
13544;8136.0;1997-12-05;7461.0;asdf;213545;Haugland,Mina;asdfasdf;agareg;asdf;7;1984;dasdfasdf;149
14537;8863.0;1995-02-20;7293.0;asdf;214538;Hagen,Vilhelm;asdfasdf;agareg;asdf;5;1998;dasdfasdf;197
15207;4149.0;2018-05-01;7288.0;asdf;215208;Wilhelmsen,Sara;asdfasdf;agareg;asdf;28;1987;dasdfasdf;34
10915;894.0;2002-08-01;477.0;asdf;210916;Klein,Ayman;asdfasdf;agareg;asdf;5;1965;dasdfasdf;155
19657;3118.0;1998-05-07;2256.0;asdf;219658;Lie,Henrik;asdfasdf;agareg;asdf;9;1986;dasdfasdf;149
14463;9101.0;2008-12-23;4062.0;asdf;214464;Dahl,William;asdfasdf;agareg;asdf;14;1986;dasdfasdf;8
16607;3442.0;2004-11-13;7873.0;asdf;216608;Eriksen,Ingeborg;asdfasdf;agareg;asdf;30;1972;dasdfasdf;134
11287;160.0;2006-09-01;6527.0;asdf;211288;Kalleberg,Amelia;asdfasdf;agareg;asdf;24;1989;dasdfasdf;191
16034;2479.0;1995-08-04;8657.0;asdf;216035;Svendsen,Emilia;asdfasdf;agareg;asdf;9;2019;dasdfasdf;170
13720;4750.0;2015-06-05;7092.0;asdf;213721;Dahle,Noah;asdfasdf;agareg;asdf;27;1969;dasdfasdf;28
17616;8901.0;2009-05-11;5257.0;asdf;217617;Østgård,Selma;asdfasdf;agareg;asdf;28;2000;dasdfasdf;77
10062;821.0;1997-07-14;2343.0;asdf;210063;Aslaksen,Konrad;asdfasdf;agareg;asdf;35;2013;dasdfasdf;10
15605;4689.0;2003-12-02;1131.0;asdf;215606;Fauske,Ea;asdfasdf;agareg;asdf;16;2008;dasdfasdf;53
13734;6250.0;1995-02-18;2704.0;asdf;213735;Pedersen,Max;asdfasdf;agareg;asdf;15;1967;dasdfasdf;76
18169;2521.0;2013-08-14;1577.0;asdf;218170;Olsen,Marcus;asdfasdf;agareg;asdf;23;2015;dasdfasdf;132
17254;9356.0;1995-09-01;3781.0;asdf;217255;Vinje,Colin;asdfasdf;agareg;asdf;26;1983;dasdfasdf;171
15202;7950.0;2012-11-03;4224.0;asdf;215203;Kristiansen,Benjamin;asdfasdf;agareg;asdf;7;2017;dasdfasdf;165
15860;9313.0;1995-05-04;5611.0;asdf;215861;Jakobsen,Pernille;asdfasdf;agareg;asdf;33;2004;dasdfasdf;30
11367;7415.0;1997-06-21;5541.0;asdf;211368;Olsen,Ahmed;asdfasdf;agareg;asdf;17;2010;dasdfasdf;32
17452;8717.0;2011-01-05;7963.0;asdf;217453;Arnøy,Christina;asdfasdf;agareg;asdf;21;1965;dasdfasdf;159
12296;1703.0;1995-06-27;5075.0;asdf;212297;Hassel,Mina;asdfasdf;agareg;asdf;34;1999;dasdfasdf;18
19046;1858.0;2016-09-14;4871.0;asdf;219047;Lund,Pernille;asdfasdf;agareg;asdf;24;1977;dasdfasdf;18
14041;4161.0;2018-03-02;884.0;asdf;214042;Leistad,Lisa;asdfasdf;agareg;asdf;6;1968;dasdfasdf;135
16041;6731.0;2007-03-11;7220.0;asdf;216042;Haugland,Julie;asdfasdf;agareg;asdf;34;1996;dasdfasdf;43
18729;3164.0;2009-04-22;5813.0;asdf;218730;Lund,Angelica;asdfasdf;agareg;asdf;10;1993;dasdfasdf;62
19634;7918.0;1996-02-13;954.0;asdf;219635;Rønningen,Patrycja;asdfasdf;agareg;asdf;32;1998;dasdfasdf;171
15208;4787.0;2017-11-27;8446.0;asdf;215209;Jørgensen,Dominik;asdfasdf;agareg;asdf;13;1986;dasdfasdf;29
19108;5580.0;2011-07-02;343.0;asdf;219109;Larsen,Hannah;asdfasdf;agareg;asdf;9;1980;dasdfasdf;28
11119;9240.0;1995-02-25;8475.0;asdf;211120;Solvoll,Didrik;asdfasdf;agareg;asdf;22;2003;dasdfasdf;199
19013;9980.0;2010-11-22;242.0;asdf;219014;Håland,Marvin;asdfasdf;agareg;asdf;6;2001;dasdfasdf;100
12497;3164.0;1999-03-27;4198.0;asdf;212498;Bakker,Mia;asdfasdf;agareg;asdf;27;1972;dasdfasdf;155
19084;1258.0;2016-07-24;5114.0;asdf;219085;Kringstad,Anna;asdfasdf;agareg;asdf;30;1967;dasdfasdf;9
14061;4459.0;2004-04-24;5100.0;asdf;214062;Hasle,Andrea;asdfasdf;agareg;asdf;15;1962;dasdfasdf;82
11437;2251.0;2018-08-23;1551.0;asdf;211438;Antonsen,Mathea;asdfasdf;agareg;asdf;17;1989;dasdfasdf;199
13006;9625.0;1997-03-27;9836.0;asdf;213007;Jakobsen,Emil;asdfasdf;agareg;asdf;17;1984;dasdfasdf;69
10564;5809.0;2007-01-17;4203.0;asdf;210565;Varhaug,Lars;asdfasdf;agareg;asdf;20;2009;dasdfasdf;152
13197;3721.0;2017-06-21;889.0;asdf;213198;Ahmed,Jonas;asdfasdf;agareg;asdf;30;1978;dasdfasdf;200
17747;8854.0;1996-12-26;7105.0;asdf;217748;Årvik,Elias;asdfasdf;agareg;asdf;28;1972;dasdfasdf;137
14757;5045.0;2018-02-24;9713.0;asdf;214758;Svee,Nora;asdfasdf;agareg;asdf;13;1991;dasdfasdf;167
10662;1934.0;2010-08-02;810.0;asdf;210663;Stenhaug,Sarah;asdfasdf;agareg;asdf;29;2008;dasdfasdf;190
12737;1553.0;1997-08-27;6606.0;asdf;212738;Braathen,Hilde;asdfasdf;agareg;asdf;35;2007;dasdfasdf;162
14699;5144.0;2004-04-17;8267.0;asdf;214700;Nilsen,Tarik;asdfasdf;agareg;asdf;8;2019;dasdfasdf;183
10057;8268.0;2010-03-08;7777.0;asdf;210058;Olafsen,Alisa;asdfasdf;agareg;asdf;22;1974;dasdfasdf;23
11732;8257.0;2014-11-20;154.0;asdf;211733;Iversen,Balder;asdfasdf;agareg;asdf;16;1977;dasdfasdf;187
10346;115.0;2016-02-07;2537.0;asdf;210347;Paulsen,Ragnhild;asdfasdf;agareg;asdf;10;2013;dasdfasdf;180
12692;8265.0;2001-02-08;1317.0;asdf;212693;Birkeland,Mariam;asdfasdf;agareg;asdf;33;2019;dasdfasdf;48
10560;6762.0;2019-06-15;8261.0;asdf;210561;Jensen,Emilie;asdfasdf;agareg;asdf;20;1984;dasdfasdf;44
18707;4854.0;1997-04-03;3605.0;asdf;218708;Huse,Sigurd;asdfasdf;agareg;asdf;18;1973;dasdfasdf;184
11260;2264.0;2013-09-17;4070.0;asdf;211261;Norheim,Sara;asdfasdf;agareg;asdf;5;1982;dasdfasdf;24
14632;3463.0;2011-12-14;9889.0;asdf;214633;Leivestad,Aylin;asdfasdf;agareg;asdf;16;1966;dasdfasdf;92
10655;7171.0;2008-11-03;8759.0;asdf;210656;Ness,Kristine;asdfasdf;agareg;asdf;24;1960;dasdfasdf;21
12949;7331.0;2009-06-05;352.0;asdf;212950;Waage,Silje;asdfasdf;agareg;asdf;30;1988;dasdfasdf;150
17960;4419.0;2016-03-17;7.0;asdf;217961;Jørgensen,Sverre;asdfasdf;agareg;asdf;10;1968;dasdfasdf;80
14959;9579.0;1999-04-12;1753.0;asdf;214960;Knutsen,Oliver;asdfasdf;agareg;asdf;23;1975;dasdfasdf;50
15006;837.0;2015-08-16;7497.0;asdf;215007;Madsen,Simon;asdfasdf;agareg;asdf;21;2011;dasdfasdf;131
11168;8318.0;2014-05-24;1524.0;asdf;211169;Løkke,Mathea;asdfasdf;agareg;asdf;18;2013;dasdfasdf;123
13138;5831.0;1995-10-01;6631.0;asdf;213139;Fjeld,Celine;asdfasdf;agareg;asdf;10;1989;dasdfasdf;30
10407;8673.0;1998-06-03;9932.0;asdf;210408;Sand,Erlend;asdfasdf;agareg;asdf;25;1979;dasdfasdf;95
12117;5528.0;1995-07-28;9484.0;asdf;212118;Kruse,Alma;asdfasdf;agareg;asdf;13;2016;dasdfasdf;73
10941;3801.0;1995-11-17;8479.0;asdf;210942;Herdlevær,Vetle;asdfasdf;agareg;asdf;6;1997;dasdfasdf;150
14634;6081.0;1997-06-05;5099.0;asdf;214635;Fosse,Hedda;asdfasdf;agareg;asdf;17;1991;dasdfasdf;130
15263;3589.0;2015-02-25;6697.0;asdf;215264;Lunde,Sofia;asdfasdf;agareg;asdf;13;1968;dasdfasdf;128
11037;2703.0;2018-08-07;3225.0;asdf;211038;Ellingsen,Kaja;asdfasdf;agareg;asdf;16;1964;dasdfasdf;62
13181;4314.0;2000-08-28;8212.0;asdf;213182;Andersen,Angela;asdfasdf;agareg;asdf;12;2019;dasdfasdf;57
16162;9750.0;2004-04-19;7495.0;asdf;216163;Karlsen,Martin;asdfasdf;agareg;asdf;19;1979;dasdfasdf;31
15306;5068.0;1999-08-09;6186.0;asdf;215307;Ellingsen,Sebastian;asdfasdf;agareg;asdf;26;2011;dasdfasdf;14
10184;1358.0;2013-02-17;3489.0;asdf;210185;Gundersen,Jonatan;asdfasdf;agareg;asdf;15;2001;dasdfasdf;6
13318;7815.0;1998-02-25;9387.0;asdf;213319;Lunde,Oliver;asdfasdf;agareg;asdf;15;1962;dasdfasdf;149
13911;7846.0;2006-05-13;7969.0;asdf;213912;Severinsen,Eli;asdfasdf;agareg;asdf;23;2005;dasdfasdf;94
16515;5764.0;2006-03-13;5643.0;asdf;216516;Bergman,Hanna;asdfasdf;agareg;asdf;13;1990;dasdfasdf;178
10668;4663.0;2003-09-18;4635.0;asdf;210669;Tronstad,Selmer;asdfasdf;agareg;asdf;18;2002;dasdfasdf;58
12694;9350.0;2019-05-12;9541.0;asdf;212695;Terjesen,Adam;asdfasdf;agareg;asdf;22;2017;dasdfasdf;117
19867;8952.0;2002-04-09;6502.0;asdf;219868;Askim,Lucas;asdfasdf;agareg;asdf;15;1996;dasdfasdf;72
15722;4462.0;2013-07-27;4620.0;asdf;215723;Brekke,Eirik;asdfasdf;agareg;asdf;25;1991;dasdfasdf;172
11174;5287.0;2004-12-12;8480.0;asdf;211175;Lien,Aurora;asdfasdf;agareg;asdf;8;2010;dasdfasdf;179
12136;6985.0;2007-08-15;8031.0;asdf;212137;Leistad,Halvor;asdfasdf;agareg;asdf;20;1970;dasdfasdf;125
14021;9916.0;2007-07-20;4535.0;asdf;214022;Selvik,Isak;asdfasdf;agareg;asdf;13;2009;dasdfasdf;169
11795;4055.0;2005-08-25;3891.0;asdf;211796;Knudsen,Sigrid;asdfasdf;agareg;asdf;10;1996;dasdfasdf;148
13441;4874.0;2003-03-22;9109.0;asdf;213442;Tharaldsen,Jakob;asdfasdf;agareg;asdf;10;2008;dasdfasdf;147
19648;2358.0;2014-05-09;6062.0;asdf;219649;Pedersen,Aria;asdfasdf;agareg;asdf;27;1971;dasdfasdf;5
19807;7964.0;1998-02-15;5815.0;asdf;219808;Samuelsen,Martin;asdfasdf;agareg;asdf;7;1988;dasdfasdf;50
14048;109.0;2002-11-14;4556.0;asdf;214049;Haugen,Ingeborg;asdfasdf;agareg;asdf;32;2019;dasdfasdf;182
18779;1865.0;2009-02-17;2759.0;asdf;218780;Sørmo,Ellen;asdfasdf;agareg;asdf;17;1990;dasdfasdf;33
16345;2301.0;2011-12-09;1092.0;asdf;216346;Furulund,Amalie;asdfasdf;agareg;asdf;16;2012;dasdfasdf;100
12593;4417.0;2014-08-08;5099.0;asdf;212594;Stokkenes,Mille;asdfasdf;agareg;asdf;34;1992;dasdfasdf;176
14853;1945.0;1996-03-20;5726.0;asdf;214854;Liknes,Jens;asdfasdf;agareg;asdf;30;2016;dasdfasdf;76
13063;3496.0;1998-06-12;78.0;asdf;213064;Johannessen,Nora;asdfasdf;agareg;asdf;9;1976;dasdfasdf;30
16729;2074.0;2017-05-25;8842.0;asdf;216730;Nilsen,William;asdfasdf;agareg;asdf;9;2001;dasdfasdf;196
11739;5645.0;1997-03-21;7879.0;asdf;211740;Syversen,Mie;asdfasdf;agareg;asdf;14;1999;dasdfasdf;45
14407;3480.0;2000-10-18;9807.0;asdf;214408;Wang,Victor;asdfasdf;agareg;asdf;32;1982;dasdfasdf;111
12196;5689.0;2006-06-07;104.0;asdf;212197;Vold,Anna;asdfasdf;agareg;asdf;20;2016;dasdfasdf;151
12360;3237.0;2001-05-03;8502.0;asdf;212361;Skaugen,Ida;asdfasdf;agareg;asdf;24;2019;dasdfasdf;187
17938;5655.0;2006-09-13;44.0;asdf;217939;Nygård,Oskar;asdfasdf;agareg;asdf;22;2019;dasdfasdf;128
13178;77.0;2002-10-19;4959.0;asdf;213179;Eckhoff,Andreas;asdfasdf;agareg;asdf;19;1976;dasdfasdf;151
11659;6768.0;2003-10-19;9387.0;asdf;211660;Leivestad,Joakim;asdfasdf;agareg;asdf;20;2008;dasdfasdf;196
17053;8522.0;2006-12-01;2124.0;asdf;217054;Skogen,Magnus;asdfasdf;agareg;asdf;12;2008;dasdfasdf;28
19525;9732.0;1999-10-23;836.0;asdf;219526;Odden,Sandra;asdfasdf;agareg;asdf;31;1976;dasdfasdf;21
12617;1252.0;2000-11-23;3563.0;asdf;212618;Stave,Tiril;asdfasdf;agareg;asdf;6;2019;dasdfasdf;93
17453;1026.0;2019-01-22;7219.0;asdf;217454;Norman,Jennie;asdfasdf;agareg;asdf;30;1970;dasdfasdf;138
19205;7867.0;2011-03-25;793.0;asdf;219206;Knudsen,Preben;asdfasdf;agareg;asdf;26;1971;dasdfasdf;163
14020;4047.0;2000-11-15;3363.0;asdf;214021;Larsen,Preben;asdfasdf;agareg;asdf;15;1986;dasdfasdf;130
14701;5911.0;2003-09-12;9225.0;asdf;214702;Karlson,Oliver;asdfasdf;agareg;asdf;12;2017;dasdfasdf;137
14667;4702.0;2012-06-11;9686.0;asdf;214668;Olsson,Georg;asdfasdf;agareg;asdf;21;1995;dasdfasdf;105
10514;7874.0;1999-12-27;784.0;asdf;210515;Håkonsen,Pia;asdfasdf;agareg;asdf;28;1963;dasdfasdf;178
13470;1935.0;2009-09-16;6687.0;asdf;213471;Holstad,Kasper;asdfasdf;agareg;asdf;21;2015;dasdfasdf;70
17686;1517.0;2013-01-21;5370.0;asdf;217687;Andorsen,Angelina;asdfasdf;agareg;asdf;18;1978;dasdfasdf;85
19559;6147.0;2002-11-12;9760.0;asdf;219560;Haugland,Truls;asdfasdf;agareg;asdf;31;1989;dasdfasdf;138
18271;9578.0;2018-07-07;3096.0;asdf;218272;Kristensen,Sander;asdfasdf;agareg;asdf;19;1975;dasdfasdf;135
10140;199.0;2008-06-23;6136.0;asdf;210141;Kilen,Elisabeth;asdfasdf;agareg;asdf;26;2019;dasdfasdf;86
12876;2609.0;2002-02-06;6851.0;asdf;212877;Kanestrøm,Isabell;asdfasdf;agareg;asdf;26;1962;dasdfasdf;142
18994;3635.0;2018-08-22;7746.0;asdf;218995;Johansen,Jens;asdfasdf;agareg;asdf;13;1986;dasdfasdf;115
11484;1188.0;2006-11-03;4183.0;asdf;211485;Liabø,Kristina;asdfasdf;agareg;asdf;30;1975;dasdfasdf;99
17691;9194.0;2018-07-22;2177.0;asdf;217692;Lien,Thomas;asdfasdf;agareg;asdf;11;1994;dasdfasdf;95
14879;9070.0;2000-03-28;9725.0;asdf;214880;Hopland,Gabriel;asdfasdf;agareg;asdf;19;1964;dasdfasdf;165
19271;411.0;2014-11-06;3422.0;asdf;219272;Mo,Mathea;asdfasdf;agareg;asdf;27;1985;dasdfasdf;59
10756;7627.0;2007-03-13;1449.0;asdf;210757;Fiskum,Alma;asdfasdf;agareg;asdf;28;1972;dasdfasdf;121
19283;5536.0;1995-08-24;779.0;asdf;219284;Samuelsen,Iver;asdfasdf;agareg;asdf;13;2010;dasdfasdf;39
18061;5207.0;2004-05-15;1133.0;asdf;218062;Olstad,Vetle;asdfasdf;agareg;asdf;14;1985;dasdfasdf;106
14485;8058.0;2015-03-08;4982.0;asdf;214486;Thoresen,Emilie;asdfasdf;agareg;asdf;35;1991;dasdfasdf;137
12979;1918.0;2006-04-09;2699.0;asdf;212980;Hansen,Aurora;asdfasdf;agareg;asdf;35;1962;dasdfasdf;178
10706;8941.0;1997-10-03;6123.0;asdf;210707;Seldal,Hannah;asdfasdf;agareg;asdf;27;1991;dasdfasdf;82
17453;7023.0;2017-07-28;8728.0;asdf;217454;Melby,Simen;asdfasdf;agareg;asdf;34;1960;dasdfasdf;110
17299;4661.0;2016-03-01;1605.0;asdf;217300;Nordeng,Mia;asdfasdf;agareg;asdf;25;2003;dasdfasdf;59
17430;1206.0;1998-10-05;9455.0;asdf;217431;Erdal,Johanna;asdfasdf;agareg;asdf;6;1972;dasdfasdf;17
18601;9120.0;2015-07-23;6087.0;asdf;218602;Bakken,Leah;asdfasdf;agareg;asdf;13;1972;dasdfasdf;113
17849;9523.0;2012-12-12;6461.0;asdf;217850;Øye,Elias;asdfasdf;agareg;asdf;18;1983;dasdfasdf;70
15714;2609.0;2011-10-03;7378.0;asdf;215715;Thomassen,Emma;asdfasdf;agareg;asdf;30;1969;dasdfasdf;114
10978;3816.0;2015-07-04;9061.0;asdf;210979;Martinsen,Angela;asdfasdf;agareg;asdf;7;2007;dasdfasdf;17
18844;177.0;2002-03-22;2229.0;asdf;218845;Hansen,Colin;asdfasdf;agareg;asdf;11;1985;dasdfasdf;104
10541;3662.0;2012-08-23;4725.0;asdf;210542;Kolstø,Truls;asdfasdf;agareg;asdf;21;1992;dasdfasdf;14
12533;354.0;2017-01-06;2487.0;asdf;212534;Kvalsund,Odd;asdfasdf;agareg;asdf;7;1966;dasdfasdf;100
15424;6989.0;2009-10-17;8724.0;asdf;215425;Eriksen,Alise;asdfasdf;agareg;asdf;15;1966;dasdfasdf;49
16774;9499.0;2007-09-15;4796.0;asdf;216775;Simonsen,Victor;asdfasdf;agareg;asdf;28;1979;dasdfasdf;26
16721;1455.0;2018-01-23;9626.0;asdf;216722;Terjesen,Tuva;asdfasdf;agareg;asdf;12;2005;dasdfasdf;31
14808;7669.0;2006-04-01;4935.0;asdf;214809;Løken,Isabella;asdfasdf;agareg;asdf;13;2017;dasdfasdf;51
12382;8514.0;2011-11-06;7998.0;asdf;212383;Rohde,Aleksander;asdfasdf;agareg;asdf;28;1960;dasdfasdf;175
13338;8064.0;1995-02-12;4440.0;asdf;213339;Rørvik,Marie;asdfasdf;agareg;asdf;16;1963;dasdfasdf;64
13223;4462.0;2019-09-27;8035.0;asdf;213224;Sæther,Hans;asdfasdf;agareg;asdf;22;2007;dasdfasdf;141
14736;4454.0;1997-07-01;5728.0;asdf;214737;Klev,Alexander;asdfasdf;agareg;asdf;5;1969;dasdfasdf;97
11784;5989.0;2006-06-18;4682.0;asdf;211785;Simonsen,Nicolai;asdfasdf;agareg;asdf;23;1960;dasdfasdf;64
10386;6671.0;2019-12-09;8306.0;asdf;210387;Iversen,Anne;asdfasdf;agareg;asdf;24;1961;dasdfasdf;170
15293;5266.0;2002-08-02;3676.0;asdf;215294;Ingvaldsen,Leo;asdfasdf;agareg;asdf;17;1977;dasdfasdf;52
19385;7471.0;2000-02-05;2197.0;asdf;219386;Årseth,Kenneth;asdfasdf;agareg;asdf;9;2011;dasdfasdf;164
14764;2721.0;2014-11-14;6925.0;asdf;214765;Larsen,Henny;asdfasdf;agareg;asdf;16;1994;dasdfasdf;104
12556;3058.0;1996-04-12;8125.0;asdf;212557;Drageset,Lars;asdfasdf;agareg;asdf;24;1971;dasdfasdf;12
19519;4976.0;2008-01-20;5715.0;asdf;219520;Sæbø,Emilie;asdfasdf;agareg;asdf;16;1981;dasdfasdf;18
15465;3462.0;1997-06-01;1405.0;asdf;215466;Herdlevær,Ylva;asdfasdf;agareg;asdf;11;2005;dasdfasdf;162
12260;4345.0;2000-06-22;2357.0;asdf;212261;Johnsen,Samira;asdfasdf;agareg;asdf;27;1995;dasdfasdf;158
11315;3117.0;2012-11-20;9537.0;asdf;211316;Grøndahl,Karolina;asdfasdf;agareg;asdf;34;2018;dasdfasdf;177
16115;6048.0;1996-05-21;895.0;asdf;216116;Wangberg,Preben;asdfasdf;agareg;asdf;31;2009;dasdfasdf;104
14542;4548.0;2005-06-09;8422.0;asdf;214543;Paulsen,Leon;asdfasdf;agareg;asdf;33;1990;dasdfasdf;144
13294;74.0;2001-10-26;6707.0;asdf;213295;Sunde,Matilde;asdfasdf;agareg;asdf;27;2011;dasdfasdf;98
16529;863.0;1998-02-26;4189.0;asdf;216530;Skagen,Hafsa;asdfasdf;agareg;asdf;33;2016;dasdfasdf;60
15726;2562.0;2003-11-27;4201.0;asdf;215727;Abrahamsen,Oda;asdfasdf;agareg;asdf;25;1993;dasdfasdf;26
18262;4857.0;2012-06-25;3394.0;asdf;218263;Hansen,Jonas;asdfasdf;agareg;asdf;7;2002;dasdfasdf;72
17609;8111.0;2014-07-10;4374.0;asdf;217610;Lid,Johannes;asdfasdf;agareg;asdf;19;2004;dasdfasdf;58
18185;7446.0;1998-07-18;1247.0;asdf;218186;Bashir,Noah;asdfasdf;agareg;asdf;12;1999;dasdfasdf;193
14254;4241.0;2015-08-11;4470.0;asdf;214255;Helleren,Arnas;asdfasdf;agareg;asdf;14;2010;dasdfasdf;84
18235;9740.0;2011-11-13;9799.0;asdf;218236;Strøm,Alva;asdfasdf;agareg;asdf;14;1998;dasdfasdf;82
19501;9544.0;2003-03-14;3907.0;asdf;219502;Sveum,Isabel;asdfasdf;agareg;asdf;17;1971;dasdfasdf;148
17752;2757.0;1998-12-14;2087.0;asdf;217753;Takvam,Sean;asdfasdf;agareg;asdf;30;1992;dasdfasdf;191
19979;5106.0;2007-10-23;509.0;asdf;219980;Lie,Maia;asdfasdf;agareg;asdf;34;2018;dasdfasdf;69
11220;128.0;2000-05-25;6835.0;asdf;211221;Hansen,Edvin;asdfasdf;agareg;asdf;21;1960;dasdfasdf;114
